key,title,sector,quantity,avg_price,ltp,curr_val,invested_val,pnl,day_change_percent,pnl_percent,expected_allocation_percent,invested_allocation_percent,curr_allocation_percent
AARTIIND,AARTIIND,Chemical,147,638.25,1030.95,151549.65,93822.75,57726.9,3.68%,61.53%,0.0%,1.73%,1.97%
ABBOTINDIA,ABBOTINDIA,Pharma,7,16562.82,18325.0,128275.0,115939.74,12335.26,-2.19%,10.64%,0.0%,2.13%,1.67%
ALKYLAMINE,ALKYLAMINE,Chemical,15,3663.82,3651.0,54765.0,54957.3,-192.3,-1.8%,-0.35%,0.0%,1.01%,0.71%
ASIANPAINT,ASIANPAINT,Paints,69,2397.17,3576.3,246764.7,165404.73,81359.97,1.75%,49.19%,0.0%,3.04%,3.21%
ASTRAL,ASTRAL,Infra & construction,66,1669.08,2436.5,160809.0,110159.28,50649.72,0.84%,45.98%,0.0%,2.03%,2.09%
ATUL,ATUL,Chemical,15,7337.99,9254.4,138816.0,110069.85,28746.15,0.99%,26.12%,0.0%,2.02%,1.8%
BAJAJFINSV,BAJAJFINSV,Non-banking financial companies,30,5411.57,17756.9,532707.0,162347.1,370359.9,-1.28%,228.13%,0.0%,2.99%,6.92%
BAJFINANCE,BAJFINANCE,Non-banking financial companies,67,3118.66,7659.35,513176.45,208950.22,304226.23,-1.15%,145.6%,0.0%,3.84%,6.67%
BERGEPAINT,BERGEPAINT,Paints,140,722.12,790.4,110656.0,101096.8,9559.2,1.19%,9.46%,0.0%,1.86%,1.44%
CAMS,CAMS,Asset management companies and Registrar & transfer,31,2981.36,2804.65,86944.15,92422.16,-5478.01,0.75%,-5.93%,0.0%,1.7%,1.13%
DABUR,DABUR,Fast moving consumer goods,153,533.77,587.3,89856.9,81666.81,8190.09,0.78%,10.03%,0.0%,1.5%,1.17%
DEEPAKNTR,DEEPAKNTR,Chemical,80,1244.04,2533.4,202672.0,99523.2,103148.8,-0.03%,103.64%,0.0%,1.83%,2.63%
DIVISLAB,DIVISLAB,Pharma,23,4854.65,4516.7,103884.1,111656.95,-7772.85,0.61%,-6.96%,0.0%,2.05%,1.35%
DMART,DMART,Retail,16,4773.88,4731.35,75701.6,76382.08,-680.48,0.55%,-0.89%,0.0%,1.4%,0.98%
HAPPSTMNDS,HAPPSTMNDS,Information technology,103,768.77,1300.0,133900.0,79183.31,54716.69,0.07%,69.1%,0.0%,1.46%,1.74%
HAVELLS,HAVELLS,Fast moving electrical goods,79,1105.36,1368.4,108103.6,87323.44,20780.16,-1.29%,23.8%,0.0%,1.61%,1.41%
HCLTECH,HCLTECH,Information technology,78,1042.6,1291.05,100701.9,81322.8,19379.1,0.45%,23.83%,0.0%,1.5%,1.31%
HDFC,HDFC,Non-banking financial companies,84,1971.92,2596.9,218139.6,165641.28,52498.32,-0.98%,31.69%,0.0%,3.05%,2.84%
HDFCAMC,HDFCAMC,Asset management companies and Registrar & transfer,36,2398.0,2440.75,87867.0,86328.0,1539.0,-0.39%,1.78%,0.0%,1.59%,1.14%
HDFCBANK,HDFCBANK,Banks,141,1226.97,1550.4,218606.4,173002.77,45603.63,0.68%,26.36%,0.0%,3.18%,2.84%
HDFCLIFE,HDFCLIFE,Insurance,207,633.34,660.15,136651.05,131101.38,5549.67,2.04%,4.23%,0.0%,2.41%,1.78%
HINDUNILVR,HINDUNILVR,Fast moving consumer goods,94,2178.61,2416.5,227151.0,204789.34,22361.66,1.0%,10.92%,0.0%,3.77%,2.95%
ICICIBANK,ICICIBANK,Banks,188,448.7,793.35,149149.8,84355.6,64794.2,1.06%,76.81%,0.0%,1.55%,1.94%
