key,title,curr_val,invested_val,pnl,pnl_percent,expected_allocation_percent,invested_allocation_percent,curr_allocation_percent
FMCG,Fast moving consumer goods,838307.2,738064.46,100242.74,13.58%,0.0%,13.58%,10.9%
IT,Information technology,535384.3,393958.09,141426.21,35.9%,0.0%,7.25%,6.96%
INTERNET,Internet,226584.3,224031.74,2552.56,1.14%,0.0%,4.12%,2.95%
BANKS,Banks,518136.65,380800.61,137336.04,36.07%,0.0%,7.0%,6.74%
NBFC,Non-banking financial companies,1395293.45,649349.2,745944.25,114.88%,0.0%,11.94%,18.14%
INSURANCE,Insurance,209695.05,191391.18,18303.87,9.56%,0.0%,3.52%,2.73%
AMC_AND_RT,Asset management companies and Registrar & transfer,174811.15,178750.16,-3939.01,-2.2%,0.0%,3.29%,2.27%
FMEG,Fast moving electrical goods,441765.35,305453.4,136311.95,44.63%,0.0%,5.62%,5.74%
RETAIL,Retail,75701.6,76382.08,-680.48,-0.89%,0.0%,1.4%,0.98%
FASHION_AND_LIFESTYLE,Fashion & lifestyle,324323.0,190081.65,134241.35,70.62%,0.0%,3.5%,4.22%
CONSTRUCTION,Infra & construction,339971.2,283750.24,56220.96,19.81%,0.0%,5.22%,4.42%
PAINTS,Paints,357420.7,266501.53,90919.17,34.12%,0.0%,4.9%,4.65%
CHEMICAL,Chemical,1284310.75,798566.94,485743.81,60.83%,0.0%,14.69%,16.7%
AGRO_CHEMICAL,Agro-Chemical,188374.8,161024.15,27350.65,16.99%,0.0%,2.96%,2.45%
OIL_AND_GAS,Oil & Gas,301599.3,222403.26,79196.04,35.61%,0.0%,4.09%,3.92%
PHARMA,Pharma,232159.1,227596.69,4562.41,2.0%,0.0%,4.19%,3.02%
AUTO_AND_EV,Auto & EV,248800.9,148628.26,100172.64,67.4%,0.0%,2.73%,3.23%
